Code,Soil Names,% Sand (O,A horizon),% Silt (O,A horizon),% Clay (O,A horizon),Hydro Group
658064,Wrightsville-Sallisaw-Leadvale-Falkner (s236),22.2,62.3,15.5,C
658065,Taft-Leadvale (s237),45.1,39.9,14.9,C
658066,Steprock-Nella-Mountainburg-Linker-Enders (s238),60.0,25.7,14.3,B
658067,Spadra-Guthrie-Barling (s239),24.5,58.9,16.6,B
658068,Mountainburg-Linker-Enders (s240),52.1,33.2,14.7,B
658069,Sherless-Pirum-Clebit-Carnasaw (s241),50.2,33.7,16.2,C
658070,Kenn-Ceda-Avilla (s242),46.9,36.4,16.8,B
658071,Taft-Sallisaw-Leadvale-Cane (s243),32.7,52.2,15.1,C
658072,Yanush-Carnasaw-Bismarck-Bigfork-Avant (s244),34.3,48.0,17.7,B
658073,Crowley-Calhoun-Amagon (s245),11.6,66.0,22.3,D
658074,Kobel-Commerce (s246),16.2,51.7,32.0,D
658075,Sharkey-Alligator (s247),15.7,40.6,43.7,D
658076,Sharkey-Dundee-Dubbs-Bosket (s248),40.1,40.4,19.6,D
658077,Sharkey-Dundee-Amagon (s249),29.4,51.7,18.8,D
658078,Sharkey-Robinsonville-Fluvaquents-Commerce (s250),15.5,36.2,28.3,C
658079,Rilla-Portland-Perry (s251),14.7,46.8,38.6,D
658080,Norwood-Crevasse-Coushatta-Bruno (s252),45.0,35.9,19.1,A
658081,Roxana-Roellen-Dardanelle-Crevasse (s253),34.2,48.4,17.4,B
658082,Rilla-Perry-Hebert (s254),18.7,53.4,27.8,B
658083,Portland-Perry-Billyhaw (s255),13.9,34.8,51.3,D
658084,Severn-Kiomatia (s256),32.7,43.2,24.1,B
658085,Felker-Adaton (s257),19.5,65.8,14.7,D
658086,Wrightsville-McKamie-Louin-Acadia (s258),28.6,54.6,16.7,D
658087,Wrightsville-Pickwick-Muskogee-McKamie (s259),16.0,66.9,17.1,C
658088,Savannah-Pheba-Amy (s260),41.3,45.5,13.2,D
658089,Sacul-Norfolk-Briley-Bibb-Alaga (s261),71.2,17.8,11.0,B
658090,Pheba-Amy (s262),30.4,55.0,14.6,D
658091,Smithdale-Savannah-Sacul-Amy (s263),55.7,32.8,11.4,C
658092,Sawyer-Savannah-Sacul (s264),51.2,37.0,11.7,C
658093,Guyton-Amy (s265),38.3,48.8,12.9,D
658094,Henry-Grenada-Calloway-Calhoun (s266),14.7,70.2,15.1,C
658095,Stuttgart-Crowley (s267),21.0,62.2,16.8,D
658096,Oaklimeter-Loring (s268),14.2,71.8,14.0,C
658097,Memphis-Loring-Collins (s269),20.2,66.0,13.9,C
658098,Saffell-Memphis-Collins-Brandon (s270),18.9,66.2,14.9,B
658099,Sumter-Oktibbeha-Kipling (s271),18.9,45.9,35.2,D
658100,Tunica-Sharkey-Bowdre (s272),25.5,41.2,33.3,D
658101,Sacul-Kullit-Bowie (s273),60.8,27.5,11.7,C
658352,Carrizo-Brios-Antho (s274),72.8,17.2,10.0,A
658353,Rositas-Ripley-Indio-Gilman (s275),50.4,32.8,16.7,B
658354,Denure-Dateland (s276),0.0,0.0,0.0,B
658355,Glenbar-Gadsden-Brios (s277),36.1,33.5,30.3,D
658356,Sasco-Marana-Denure (s278),32.9,43.6,23.5,B
658357,Yahana-Indio-Gadsden (s279),29.0,44.9,26.2,D
658358,Pahaka-Mohall-Laveen-Denure (s280),48.8,35.2,16.0,B
658359,Momoli-Denure-Carrizo (s281),80.5,17.0,2.5,B
658360,Why-Wellton-Gunsight-Growler-Denure (s282),62.4,24.8,12.9,B
658361,Mohall-Denure-Coolidge (s283),62.6,22.4,15.0,B
658362,Mohall-Contine (s284),35.0,33.3,31.8,B
658363,Yahana-Shontik-Casa Grande (s285),57.2,25.3,17.5,C
658364,Tremant-Pinamt-Ebon (s286),51.9,26.9,21.3,B
658365,Suncity-Cipriano-Carefree (s287),35.8,35.0,29.2,D
658366,Rillito-Gunsight-Denure-Chuckawalla (s288),72.1,18.7,9.2,B
658367,Hyder-Coolidge-Cipriano-Cherioni (s289),67.9,19.6,12.5,D
658368,Ligurta-Gunsight-Cristobal (s290),40.4,37.6,22.0,B
658369,Pinamt-Gunsight-Cavelt (s291),50.7,31.8,17.5,B
658370,Pinamt-Momoli-Cipriano (s292),56.7,25.8,17.5,D
658371,Rock outcrop-Quilotosa-Momoli (s293),0.0,0.0,0.0,D
658372,Rock outcrop-Quilotosa-Hyder-Gachado (s294),55.5,14.5,30.0,D
658373,Schenco-Rock outcrop-Laposa (s295),27.1,25.1,14.5,D
658374,Laveen-Kamato-Casa Grande (s296),48.5,30.6,20.8,C
658375,Toltec-La Palma-Casa Grande (s297),70.2,16.5,13.3,C
658376,Mohall-Dateland-Casa Grande (s298),58.7,23.8,17.5,B
658377,Pahaka-Estrella-Antho (s299),52.5,25.9,21.7,B
658378,Valencia-Estrella-Cuerda (s300),69.5,17.5,13.0,B
658379,Superstition-Rositas (s301),96.0,1.5,2.5,A
658380,Guest-Glendale-Gila (s302),16.4,48.1,35.5,B
658381,Riveroad-Comoro-Arizo (s303),54.1,28.7,17.2,B
658383,Mohave-Guest-Continental (s305),30.5,31.7,37.8,B
658384,Tres Hermanos-Pajarito-Mohave (s306),58.5,22.0,19.5,B
658385,Sonoita-Hayhook-Continental (s307),59.3,27.0,13.7,B
658386,Sahuarita-Mohave-Cave (s308),51.2,32.3,16.5,B
658387,Cacique-Bucklebar-Alko (s309),69.2,17.5,13.3,C
658388,Stagecoach-Nahda-Delnorte-Agustin (s310),66.7,19.3,14.0,B
658389,Pinaleno-Eba (s311),39.3,36.7,24.0,C
658390,Nickel-Greyeagle-Continental (s312),41.7,38.7,19.7,D
658391,Pinaleno-Palos Verdes-Nickel (s313),67.2,20.6,12.2,B
658392,Tumarion-Rock outcrop-Lehmans-House Mountain-Akela (s314),32.7,30.7,16.6,D
658393,Rock outcrop-Luzena-Faraway (s315),27.8,26.0,12.8,D
658394,Rock outcrop-Lehmans-Gran (s316),34.1,18.9,13.7,D
658395,Rock outcrop-Lajitas-Delthorny-Anklam (s317),0.0,0.0,0.0,D
658396,Torriorthents-Rock outcrop (s318),0.0,0.0,0.0,D
658397,Tovar-Toqui-Deama (s319),59.0,22.5,18.5,D
658398,Santo Tomas-Pima-Comoro (s320),40.5,44.0,15.5,B
658399,Hondale-Gothard-Bluepoint (s321),53.2,30.8,16.0,D
658400,Sontag-Bonita (s322),3.6,23.9,22.5,D
658401,Tubac-Forrest-Enzian-Diaspar (s323),63.7,18.8,17.5,C
658402,Winkel-Harrisburg-Cave (s324),65.5,25.8,8.7,D
658403,White House-Hathaway-Bernardino (s325),40.9,37.4,21.7,C
658404,Tombstone-Stronghold-Jerag (s326),58.1,25.9,16.0,B
658405,Torriorthents-Rock outcrop-Gypill (s327),22.3,7.7,3.3,D
658406,White House-Hathaway-Caralampi-Bernardino (s328),46.1,33.3,20.6,C
658407,Romero-Rock outcrop-Lampshire (s329),0.0,0.0,0.0,D
658408,Zukan-Rock outcrop-Goblin (s330),44.1,15.6,7.0,D
658409,Tanbark-Mellenthin-Calciorthids (s331),40.8,38.2,21.0,D
658410,Thunderbird-Collbran-Boquillas (s332),36.3,34.2,29.5,C
658411,Yumtheska-Natank-Disterheff (s333),45.1,30.1,24.8,C
658412,Sponiker-Rock outcrop-Cross (s334),26.0,24.2,16.5,B
658413,Rock outcrop-Mabray-Lemitar (s335),27.1,25.1,14.5,D
658414,Pennell-Bacobi (s336),67.6,20.4,12.0,D
658415,Tours saline-Sodic-Riverwash-Jocity saline-Sodic-Ives saline-Sodic-Burnswick (s337),32.8,22.6,19.7,B
658416,Marcou-Jocity saline-Sodic-Burnswick (s338),53.9,20.1,26.0,B
658417,Wepo-Polacca-Jocity-Jeddito (s339),54.5,17.4,15.6,C
658418,Sheppard sodic-Sheppard-Joraibi-Jocity (s340),53.1,15.4,14.8,A
658419,Torriorthents-Tewa-Sheppard-Jeddito (s341),56.3,8.4,6.7,C
658420,Rock outcrop-Moenkopie (s342),64.3,13.6,7.8,D
658421,Nakai-Monue-Blackston (s343),74.5,17.3,8.2,B
658422,Purgatory-Epikom-Claysprings-Badland (s344),40.7,17.1,17.3,D
658423,Sheppard-Nakai-Monue (s345),46.3,12.1,8.3,B
658424,Kinan-Hatknoll-Grieta (s346),50.9,28.7,20.3,B
658425,Torriorthents-Sheppard-Pennell-Monue-Jocity-Clayhole (s347),37.3,29.4,16.6,B
658426,Pennell-Pagina-Kinan (s348),71.6,15.9,12.5,B
658427,Mellenthin-Curhollow (s349),43.3,39.7,17.0,D
658428,Yumtheska-Showlow-Lozinta (s350),34.9,43.4,21.7,D
658429,Wayneco-Sazi-Rock outcrop-Rizno-Palma-Mespun (s351),62.6,14.9,8.2,D
658430,Winona-Tenderfoot-Curhollow (s352),41.6,38.4,20.0,D
658431,Rudd-Arches (s353),58.7,26.8,14.5,D
658432,Poley-Palma-Clovis (s354),68.0,15.8,16.2,C
